,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,period,sta_square,sta_price,avg_price,avg_community,trade_year
92300,BJ0000615222,116.118409,39.937888,1.11104E+12,2010/4/13,1,0,146.5,15985,91.65,#NAME?,,,,中 16,4,2006,钢混结构,0.5,1,0,0,0,12,38753,,0.048746118,0.102298255,1.59847245,0.161997423,2010
92349,BJ0000615438,116.117724,39.941152,1.11105E+12,2010/9/29,1,0,109.5,17484,62.63,#NAME?,,,,中 14,3,2006,钢混结构,0.125,1,0,0,0,12,39492,,0.032054527,0.111891916,1.748363404,0.166287399,2010
92398,BJ0000615595,116.118409,39.937888,1.11104E+12,2010/12/26,1,0,176,20540,85.69,#NAME?,,,,低 16,4,2006,钢混结构,0.5,1,0,0,0,12,38753,,0.045318072,0.131450441,2.053915276,0.161997423,2010
92414,BJ0000615635,116.117724,39.941152,1.11105E+12,2011/1/15,1,0,185,20627,89.69,#NAME?,,,,中 16,3,2005,钢混结构,0.5,1,0,0,0,12,39492,,0.047618774,0.132007245,2.062660274,0.166287399,2011
92467,BJ0000615823,116.111318,39.949921,1.11103E+12,2011/11/1,1,0,165,18521,89.09,#NAME?,,,,高 12,4,2011,钢混结构,0.25,1,0,0,0,12,36923,,0.047273668,0.118528759,1.852059715,0.15137407,2011
92814,BJ0000617419,116.122354,39.937384,1.11103E+12,2014/10/6,1,0,156,19004,82.09,#NAME?,,,,顶 6,4,2000,钢混结构,0.5,0,0,0,0,12,36358,,0.04324744,0.121619978,1.900353271,0.148094182,2014
92845,BJ0000617545,116.117724,39.941152,1.11105E+12,2014/11/29,1,0,143,24062,59.43,#NAME?,,,,高 14,3,2006,钢混结构,0.125,1,0,0,0,12,39492,,0.030213965,0.153991386,2.406192159,0.166287399,2014
92899,BJ0000617766,116.121964,39.939762,1.11103E+12,2015/3/15,1,0,235.8,22479,104.9,#NAME?,,,,低 15,4,2003,钢混结构,0.5,1,0,0,0,12,37588,,0.056367192,0.143860121,2.2478551,0.155234468,2015
141376,BJCY85946155,116.433425,40.01024,1.11103E+12,2013/5/29,1,0,26,8374,31.05,#NAME?,,,,底 28,1,未知,钢混结构,0.429,1,1,1,0,7,74411,,0.013890487,0.053587543,0.837359098,0.368996064,2013
224349,BJFT85355966,116.401854,39.861344,1.11103E+12,2013/1/8,1,0,12.6,3609,34.92,#NAME?,,,,底 11,4,2005,钢混结构,0.5,1,0,0,0,2,46572,,0.016116416,0.023091348,0.360824742,0.207387584,2013
243731,BJHD84636270,116.3328,39.938358,1.11103E+12,2012/6/27,,0,650,43590,149.12,#NAME?,,,,中 24,1,未知,钢混结构,0.375,1,1,1,0,8,98686,,0.081801449,0.278971385,4.358905579,0.509915129,2012
244054,BJHD84693304,116.327941,39.934006,1.11103E+12,2012/7/8,,0,39,32500,12,#NAME?,,,,底 20,3,2003,钢混结构,0.333,1,1,1,0,8,103097,,0.002933395,0.207994931,3.25,0.535521473,2012
245394,BJHD85046371,116.327941,39.934006,1.11103E+12,2012/10/17,1,0,40,33334,12,#NAME?,,,,中 22,3,2003,钢混结构,0.667,1,1,1,0,8,103097,,0.002933395,0.213332565,3.333333333,0.535521473,2012
